DUID;Module;DataID;TypeData;NUID1;Parent1;LocalID1;NUID2;Parent2;LocalID2
298;Steer.ApA;RateOfTurnMeas;Variable;;#N/A;#N/A;;#N/A;#N/A
299;Steer.ApA;HeadingMeas;Variable;;#N/A;#N/A;;#N/A;#N/A
300;Steer.ApA;FrontThrustRef;Variable;;#N/A;#N/A;;#N/A;#N/A
302;Steer.ApA;HeadingRef;Variable;;#N/A;#N/A;;#N/A;#N/A
303;Steer.ApA;RateOfTurnRef;Variable;;#N/A;#N/A;;#N/A;#N/A
304;Steer.ApA;RudderAngleRef;Variable;;#N/A;#N/A;;#N/A;#N/A
309;Steer.ApA;EngineRpmMeas;Variable;;#N/A;#N/A;;#N/A;#N/A
310;Steer.ApA;EngineRpmRef;Variable;;#N/A;#N/A;;#N/A;#N/A
312;Steer.CpM;ActiveStationSteer;Variable;;#N/A;#N/A;;#N/A;#N/A
313;Steer.CpM;StationModeSteer;Variable;;#N/A;#N/A;;#N/A;#N/A
323;Steer.CpM;SteerMode;Variable;;#N/A;#N/A;;#N/A;#N/A
331;Steer.CpA;ActiveStationSteer;Variable;;#N/A;#N/A;;#N/A;#N/A
332;Steer.CpA;StationModeSteer;Variable;;#N/A;#N/A;;#N/A;#N/A
342;Steer.CpA;SteerMode;Variable;;#N/A;#N/A;;#N/A;#N/A
350;Batt.Dc12;BattAmpM;Variable;;#N/A;#N/A;;#N/A;#N/A
351;Batt.Dc12;BattAmpF;Variable;;#N/A;#N/A;;#N/A;#N/A
352;Batt.Dc12;BattAmpA;Variable;;#N/A;#N/A;;#N/A;#N/A
353;Batt.Dc24;BattAmpM;Variable;;#N/A;#N/A;;#N/A;#N/A
354;Batt.Dc24;BattAmpF;Variable;;#N/A;#N/A;;#N/A;#N/A
355;Batt.Dc24;BattAmpA;Variable;;#N/A;#N/A;;#N/A;#N/A
7;Batt;ResponseBattData;Event;;#N/A;#N/A;;#N/A;#N/A
13;Batt.Dc12;ResponseDcData;Event;;#N/A;#N/A;;#N/A;#N/A
19;Batt.Dc24;ResponseDcData;Event;;#N/A;#N/A;;#N/A;#N/A
23;Pow.CpM;OnChangeCommandPow;Event;;#N/A;#N/A;;#N/A;#N/A
32;Pow.CpM;OnChangePowMode;Event;;#N/A;#N/A;;#N/A;#N/A
36;Pow.CpA;OnChangeCommandPow;Event;;#N/A;#N/A;;#N/A;#N/A
45;Pow.CpA;OnChangePowMode;Event;;#N/A;#N/A;;#N/A;#N/A
70;Pow.Out12M;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
96;Pow.Out12F;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
122;Pow.Out12A;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
148;Pow.Out24M;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
174;Pow.Out24F;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
200;Pow.Out24A;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
226;Pow.Out220M;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
252;Pow.Out220F;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
278;Pow.Out220A;OutStatus;Event;;#N/A;#N/A;;#N/A;#N/A
285;Steer.ApM;OnChangeRef;Event;;#N/A;#N/A;;#N/A;#N/A
290;Steer.ApM;OnChangeCompass;Event;;#N/A;#N/A;;#N/A;#N/A
